"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"East Asia & Pacific","EAS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1779607617759","9.89943080666892","9.0771061185742","9.38690497999622","9.61624756412946","9.36971011595174","8.87934605933336","8.4987767240635","8.10643227928632","7.87785374374862","7.45418134242156","7.08493120967963","6.49204494478607","6.20323857991394","5.93824367681724","5.67425173453409","5.54046167157459","5.47565050342843","5.48709893649795","5.39412478330854","",
"Europe & Central Asia (excluding high income)","ECA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.013718413502","9.7254130298796","9.77225892210093","9.61382120601151","9.32287428567282","9.2994028537111","8.70222688254101","8.38366939405361","8.23143612581502","7.86443872251288","7.72237582681191","7.39154401208813","7.19065401002268","6.95299474289642","6.94394570986351","6.73799826439655","6.55339085663539","6.06943444949052","5.9752828787293","5.70044512951332","",
"Europe & Central Asia","ECS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46153121614885","8.14463557886909","8.26027394689828","8.12090431725585","7.92091257586517","7.84082696586772","7.39310929638105","7.13406094284002","7.10952354919135","6.90572390273744","6.81893754930553","6.65641353016125","6.6036438331401","6.57037002351303","6.49351817551277","6.41682575306525","6.11004584881745","5.93306951480605","5.85822005746446","5.6456416645832","",
"Ecuador","ECU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.6","5.1","5.2","5.6","5.7","6","5.7","5.7","5.6","5.5","5.3","5.2","4.9","4.5","4.3","4.3","4.3","3.9","3.6","",
"Egypt, Arab Rep.","EGY","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.4","2.4","2.4","2.3","2.3","2.3","2.2","2.2","2.2","2.3","2.2","2.3","2.1","2.1","2.2","2.1","2","2","2","",
"Euro area","EMU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3518829372757","7.08227100186143","7.24135566348869","7.18925928127843","6.92934022783238","6.78412064470963","6.41164741251896","6.25871291145847","6.32007840110118","6.31085552097602","6.30330414868257","6.26640316081256","6.36684859019553","6.53457138224491","6.34597867868762","6.35458025780034","5.97602366022072","6.08980659457519","6.05405781701381","5.85526386551145","",
"Eritrea","ERI","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.9","5.9","5.5","5.6","5.7","5.9","5.8","6.2","6.1","5.9","5.8","5.7","5.6","5.5","5.5","5.4","5.4","5.3","5.2","",
"Spain","ESP","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","3.9","4.1","4.1","4.2","4","3.5","3.7","3.6","3.5","3.1","3.4","3.6","4.2","4.3","4.1","4.1","4.3","4.1","4.2","",
"Estonia","EST","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","11.8","10.2","9.3","8.9","8.2","8.8","7.1","7.9","7.3","6.6","5.9","7.6","7.2","7.2","5.4","6.2","8.1","7.1","6.5","",
"Ethiopia","ETH","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","6","5.8","5.7","5.5","5.4","5.2","5.1","5","4.8","4.4","4.1","3.6","3.2","3.2","3.2","3.1","3.1","3.1","3.1","",
